trajectory_index,u,v,x,y,z
161,-129.08133327329952,-34.00781114641427,-75.78377582532525,657.5471429516992,64.52908825609559
162,-127.9715879998381,-35.411438605301086,-76.52347041733567,676.508961724795,63.627767440670006
163,-126.86184272637666,-36.8150660641879,-78.09159242611537,645.5715349091467,61.71700450836472
164,-125.75209745291524,-38.21869352307473,-78.38120956514292,679.6914344139323,61.401055115653435
165,-124.64235217945381,-39.62232098196154,-79.6461508667265,701.931648969244,59.35792777623253
166,-123.53260690599237,-41.02594844084836,-78.11994032726739,884.7314430607954,63.48664025478387
167,-122.42286163253094,-42.429575899735184,-76.32470301505501,1014.3026886734052,65.32865203839279
168,-121.31311635906951,-43.833203358622,-76.38292959858104,1106.4755300568336,66.32864973225136
169,-120.20337108560807,-45.23683081750882,-75.81748276005084,1282.527333438361,69.26949757910653
170,-119.09362581214664,-46.640458276395634,-76.60909487093191,1250.7022830018986,67.78849625219148
171,-117.98388053868521,-48.04408573528245,-77.76989924801919,1199.051741432219,65.61678513367205
172,-116.87413526522377,-49.44771319416927,-79.5314045852306,1126.013521926018,62.32124214497976
173,-115.76438999176234,-50.851340653056084,-80.95285194949327,1045.5144798385604,59.661902547117876
174,-114.65464471830091,-52.2549681119429,-78.639652512418,1302.773897281886,63.98959206656552
175,-113.54489944483949,-53.65859557082972,-81.11439651791905,1086.5278775017832,59.35967407321522
176,-112.43515417137806,-55.062223029716534,-75.6609615481722,1449.1630573715584,69.5623280187834
177,-111.32540889791662,-56.465850488603365,-77.77496658777821,1277.5550151493794,65.60730481268662
178,-110.21566362445519,-57.86947794749018,-76.74052832073887,1334.115021863691,66.01868306851429
179,-109.10591835099376,-59.273105406377,-77.86833290676141,1235.0143519910825,62.93957755447185
180,-107.99617307753232,-60.676732865263816,-79.1599535449836,1345.8900877942274,63.00244970391007
181,-106.88642780407089,-62.08036032415063,-84.15594865221568,1159.1667424533027,60.09865522195857
182,-105.77668253060946,-63.48398778303745,-84.54368785932702,1356.5199862019979,64.12741962651538
183,-104.66693725714802,-64.88761524192427,-84.26322029143992,1524.1438456713413,65.05199715662714
184,-103.5571919836866,-66.29124270081108,-80.05069335005811,2169.525280335895,78.93883542578578
185,-102.44744671022517,-67.6948701596979,-76.96296885731016,2748.9411101300484,89.11769748344774
186,-101.33770143676372,-69.09849761858472,-79.45324661739082,2479.237999601285,80.90835307313485
187,-100.22795616330231,-70.50212507747153,-79.49536987291431,2444.3677644083004,80.76949132934863
188,-99.11821088984087,-71.90575253635836,-84.86754938648001,1660.5900429165938,63.05979140436694
189,-98.00846561637943,-73.30937999524518,-77.54848431590773,2845.7746982913695,87.18751196991056
190,-96.89872034291801,-74.713007454132,-74.60744451057514,3329.3552657496066,96.88281948678366
191,-95.78897506945657,-76.11663491301881,-77.89685917007046,2977.537052406301,86.66471611464324
192,-94.67922979599514,-77.52026237190563,-78.43879404469243,2838.386818445753,83.45469420499411
193,-93.56948452253371,-78.92388983079245,-84.6148986614158,2232.853428070858,67.03295019013375
194,-92.45973924907227,-80.32751728967926,-84.6355368639346,2450.681261459841,76.43161140906787
195,-91.34999397561086,-81.73114474856608,-84.3178273801242,5935.091333978856,158.84813469730872
196,-90.24024870214942,-83.13477220745291,-84.3436607323471,6041.746924581095,158.96159739387107
197,-89.13050342868797,-84.53839966633973,-91.28697556045024,3642.7805465695005,88.46488692949195
198,-88.02075815522655,-85.94202712522655,-91.07827550192262,3628.762796442529,90.58385574541899
199,-86.91101288176512,-87.34565458411336,-89.02331950041804,4363.004143768969,111.44818954585863
200,-85.80126760830368,-88.74928204300018,-88.49351782756779,4501.302812896243,116.827360166686
201,-84.69152233484226,-90.152909501887,-93.66851369418404,2227.2430617751793,64.28470665102027
202,-83.58177706138082,-91.55653696077381,-93.50629987460607,2654.774318284813,65.93169241433696
203,-82.47203178791939,-92.96016441966063,-93.54787814207083,-1204.7832309378246,-27.99290289959182
204,-81.36228651445796,-94.36379187854745,-91.52046591979973,-203.08967179468422,-13.983573424178822
205,-80.25254124099654,-95.76741933743426,-93.10549571164081,-2790.3933551823557,-70.00112837237704
206,-79.1427959675351,-97.17104679632108,-95.01889437285801,-1968.7824515141483,-50.5740514268241
207,-78.03305069407365,-98.57467425520791,-94.08806518324064,-2398.593141123156,-60.02492575656886
208,-76.92330542061222,-99.97830171409473,-97.11127071277883,-1095.3153112654527,-29.329782274447922
209,-75.8135601471508,-101.38192917298154,-96.46535065480342,-1321.922926876614,-35.887923513548074
210,-74.70381487368937,-102.78555663186836,-96.48526488032613,-1300.5241026673534,-35.68573083965228
211,-73.59406960022793,-104.18918409075518,-96.28306421257629,-1330.29814583136,-37.738710184959466
212,-72.4843243267665,-105.592811549642,-96.29543664030308,-1215.909304712032,-37.613090725551956
213,-71.37457905330507,-106.99643900852881,-96.65334781914584,-1048.9824642152364,-33.97915486472659
214,-70.26483377984364,-108.40006646741563,-96.4261875292688,-1069.7997521006762,-36.28555369308555
215,-69.15508850638221,-109.80369392630244,-96.70449269461665,-878.9384572136195,-33.45987184687837
216,-68.04534323292077,-111.20732138518926,-96.31752370397882,-863.6155127247639,-33.80318038930267
217,-66.93559795945934,-112.61094884407608,-96.45351196496071,-626.4035120826786,-29.673271912534545
218,-65.8258526859979,-114.01457630296291,-94.95896705288324,-549.8459495768896,-29.691493387280097
219,-64.71610741253647,-115.41820376184972,-93.48040174303388,-909.1722198349017,-40.10272435911678
220,-63.606362139075046,-116.82183122073654,-93.63777198084665,-664.0718299806249,-36.279653490858784
221,-62.49661686561362,-118.22545867962336,-93.33253217821864,-562.2869655582002,-35.15448691235093
222,-61.386871592152175,-119.62908613851017,-93.4115446298283,-500.49588412848965,-34.89401780389878
223,-60.27712631869075,-121.03271359739699,-93.0780733030124,-460.4357800118381,-35.99332528544931
224,-59.16738104522932,-122.43634105628381,-92.29538225395184,-493.3344327612051,-38.573511516722846
225,-58.05763577176789,-123.83996851517063,-93.44781078778416,-298.43590833823754,-34.77446432039969
226,-56.94789049830645,-125.24359597405744,-93.90438394796513,-196.97572884734313,-33.26934453797478
227,-55.83814522484502,-126.64722343294426,-93.94812958027234,-140.59354982165598,-33.1251345354548
228,-54.728399951383594,-128.05085089183106,-94.0093210944301,-83.6533093920259,-32.923413176190344
229,-53.61865467792215,-129.4544783507179,-93.98119185365789,-23.12983298321845,-33.01614284241514
