vertex_index,x,y,z,geodesic_distance
480,-165.6594238,-164.8421631,-2.090354428e-05,183.5989667
481,-165.6594238,175.9104767,-2.090354428e-05,183.0144995
482,-165.6594086,175.9104767,38.76665878,183.0087239
483,-165.6593933,175.9104767,77.53334045,182.9914401
484,-173.8483887,167.5197449,116.3000107,182.9662027
485,-173.942688,167.4129333,116.3000107,182.9662501
486,-178.451889,155.8930054,162.8416443,182.9220001
487,-175.1977997,153.1591949,209.3833313,182.8567386
488,-171.9437256,150.4253998,255.9250336,182.7753686
489,-168.689743,147.6916046,302.4666138,182.6791947
490,-165.4356842,144.95784,349.0083313,182.5706407
491,-162.1815948,142.2240448,395.5500183,182.4534913
492,-158.9276123,139.4902496,442.0916443,182.3329644
493,-155.6735382,136.7564545,488.6333313,182.2154764
494,-152.4194641,134.0226593,535.1750488,182.1079936
495,-149.16539,131.2888641,581.7167358,182.0169701
496,-145.9113922,128.5550232,628.2583008,181.9470844
497,-146.8722534,120.560379,674.7999878,181.9050448
498,-148.0946808,119.0347672,674.7999878,181.9063875
499,-148.4641266,118.5268478,674.7999878,181.9068082
500,-149.6442261,116.9047394,674.7999878,181.9081256
501,-152.6720581,111.7138596,681.7400513,181.9061381
502,-150.067749,115.3789749,681.7755127,181.9034903
503,-178.6318665,-144.6101379,162.8417206,183.4596151
504,-182.5039215,-132.9293365,209.3833618,183.3658179
505,-185.6653137,-121.2421646,255.9250031,183.2467249
506,-188.1253204,-109.5900269,302.4666443,183.1005003
507,-189.8956146,-98.01334381,349.0083313,182.9286861
