point_index,u,v,x,y,z,source_geodesic_distance
42219,0.7273536115,0.5458413085,273.2479868,472.1729507,66.08432701,470.6403628
42220,0.734773395,0.5338861996,279.4207087,473.9592809,103.6637357,470.0362911
42221,0.7307834495,0.5403338925,276.5212711,473.1181972,82.33704101,470.3705148
42222,0.7388616028,0.5273160592,283.1988887,475.0508449,123.3650021,469.7118855
42223,0.7236434452,0.5518734672,271.3645709,471.6221404,44.08811611,470.9693195
42224,0.7320192813,0.5383748161,278.2636928,473.6190148,86.69341967,470.2858702
42225,0.7274737395,0.5457172992,274.8928641,472.6415587,62.57720565,470.6651219
42226,0.7364371854,0.5312702988,282.2460806,474.7700106,108.251191,469.9330562
42227,0.72475055,0.5501304231,273.191418,472.1464721,47.28234474,470.8994368
42228,0.7341052482,0.5350518661,280.8445299,474.3618337,95.00611848,470.1349455
42229,0.7291832208,0.5430006153,277.1528192,473.291554,69.00353688,470.5446766
42230,0.7390684174,0.5270659683,285.2178189,475.6262533,119.4926046,469.7363372
42231,0.7225566704,0.5537078595,272.31156,471.8873185,33.65272951,471.0991817
42232,0.7327232934,0.5373189115,280.5917278,474.2843764,85.61765603,470.2675065
42233,0.7273778081,0.545949918,276.5468815,473.1119065,57.47262486,470.7116939
42234,0.7380344571,0.528770251,285.2088206,475.6195697,111.9883957,469.8395449
42235,0.7243579354,0.5508384163,274.5396198,472.5286023,40.83229595,470.9688439
42236,0.7353454741,0.5331247421,283.4576876,475.1104787,97.07494986,470.0693279
42237,0.7394555913,0.5265413984,288.0914227,476.3867718,116.2532363,469.7412707
42238,0.738894233,0.5275503133,290.8018825,477.010233,108.8984709,469.8070399
42239,0.7367067637,0.5309337751,284.6475939,475.4538847,103.8347111,469.9595505
42240,0.7368386195,0.5308325119,288.1507407,476.2945335,99.71870655,469.9698023
42241,0.7357482844,0.532543024,285.8164349,475.6936196,96.15964123,470.0503727
42242,0.7363518387,0.5317158087,290.7578907,476.8963931,92.97857733,470.0284281
42243,0.7343614846,0.5347547917,283.9505146,475.1923358,90.07578989,470.1596985
42244,0.7352237117,0.5335299037,289.6938097,476.5968148,87.38895546,470.1201791
42245,0.734124173,0.5352298598,286.5773919,475.8090404,84.87602689,470.1966966
42246,0.735256908,0.5335937256,293.300174,477.4580642,82.50706082,470.1396733
42247,0.7323474865,0.5379896351,281.9354138,474.6299854,80.25982315,470.3227812
42248,0.7336246006,0.5361326866,289.1407604,476.3999408,78.11728678,470.2561658
42249,0.7324314764,0.5379616413,285.2804916,475.4309985,76.06604657,470.3362248
42250,0.7339158991,0.5357911936,293.2873302,477.4004886,74.09534485,470.2565108
42251,0.7312951554,0.5397480234,282.96144,474.8318525,72.19637329,470.4208993
42252,0.7329172813,0.5373688247,291.4850616,476.9301618,70.3618346,470.3323877
42253,0.7316514686,0.5392999156,287.1062735,475.8346292,68.58557705,470.4155651
