sample_index,source_index,u,v,x,y,z
622,753,0.4529567811,0.2726321075,608.6737671,188.577301,1060.555298
623,755,0.3936971056,0.3216560673,579.2891235,172.4632568,1071.47998
624,756,0.398800015,0.3090439962,575.4751587,167.4116669,1056.760254
625,760,0.418068554,0.2827905647,571.671875,159.8829956,1023.602722
626,761,0.4474689088,0.2792979902,596.1052856,177.493515,1050.427002
627,762,0.4608814318,0.2732205734,600.2800903,181.0728149,1048.118652
628,763,0.4488750965,0.2738809979,591.1277466,173.5105438,1034.703735
629,765,0.4233594032,0.283435455,566.5066528,157.6255035,1024.737061
630,766,0.4179560632,0.2971495839,571.1781616,162.4266815,1041.152954
631,769,0.3950692496,0.3231751587,569.843689,166.2888794,1057.38623
632,771,0.3838405276,0.3418534869,570.588501,171.4170532,1072.108032
633,773,0.4165653214,0.3043491054,581.0198364,169.128006,1055.72522
634,774,0.4162042627,0.2885673884,579.170105,165.653717,1039.344116
635,775,0.4138855852,0.3162220631,592.3419189,178.066452,1076.36145
636,776,0.42874346,0.3020143817,597.6431885,180.4238129,1074.723877
637,777,0.4257499671,0.3037272395,590.5133057,175.8806763,1069.216553
638,778,0.4392465356,0.2991219365,595.7365112,178.4045105,1067.512451
639,779,0.4286372582,0.2923971811,586.3909302,171.4569855,1054.271606
640,780,0.4346008174,0.2876847518,591.4528198,174.2756958,1052.485596
641,781,0.4214050887,0.2869619005,581.7437744,167.0339813,1038.539917
642,782,0.4299840037,0.2767331225,576.6865845,162.7307892,1022.091248
643,783,0.4081406059,0.2677712426,566.519043,155.6443939,1006.446106
644,784,0.3900920805,0.3291706356,580.9810791,174.9885406,1078.471436
645,785,0.407043804,0.3235319378,586.7504883,176.2384796,1077.62207
646,786,0.4110305345,0.309565405,584.9902954,173.8744354,1070.557373
647,789,0.4496590054,0.2935357617,616.2959595,195.0662689,1088.406006
648,791,0.459677274,0.2801515295,612.8318481,191.9515533,1074.874146
649,792,0.4586748537,0.2722526606,616.114624,195.9990692,1071.967896
650,793,0.4625015401,0.2757169425,611.8459473,192.679657,1057.72644
651,794,0.4645405222,0.2431309159,604.2733765,189.6877441,1024.87439
652,795,0.461753334,0.2146361125,597.081665,191.0607147,988.6112671
653,796,0.4555586021,0.1908176665,589.5908203,193.4272766,952.7514648
654,797,0.4382209522,0.1139963922,585.5812988,207.1427002,915.3626709
655,798,0.4246097721,0.3165429627,599.3739014,182.4045563,1081.71167
656,799,0.4419102148,0.3019317835,606.0049438,186.8828888,1086.603271
657,800,0.4279829925,0.3151055061,600.9143677,184.3452606,1088.45459
